iter	RMSE
0	19332.59911
1	16544.47884
2	14212.43196
3	12304.28029
4	10751.31123
5	9502.151198
6	8510.480374
7	7727.279105
8	7115.834429
9	6626.138755
10	6251.821457
11	5972.720529
12	5736.958021
13	5559.538204
14	5429.235621
15	5329.476296
16	5253.272538
17	5164.211401
18	5112.248738
19	5070.800572
20	5032.525176
21	4996.306877
22	4967.70641
23	4946.501497
24	4924.420871
25	4892.682019
26	4863.411262
27	4847.235998
28	4828.408296
29	4811.370519
30	4798.42111
31	4784.077712
32	4774.060689
33	4751.174631
34	4738.242602
35	4723.629635
36	4706.114788
37	4699.88799
38	4681.701638
39	4670.732384
40	4656.337519
41	4648.242133
42	4639.966518
43	4633.32582
44	4624.10359
45	4612.090767
46	4600.929614
47	4593.609404
48	4584.012686
49	4574.446722
50	4569.818245
51	4562.814246
52	4554.203385
53	4539.931078
54	4536.323129
55	4532.359239
56	4526.777624
57	4518.846947
58	4516.624733
59	4503.334156
60	4488.1907
61	4479.450782
62	4474.54865
63	4467.014241
64	4462.387604
65	4453.494549
66	4450.499471
67	4446.669858
68	4434.1719
69	4426.897208
70	4417.278941
71	4409.96246
72	4404.941911
73	4394.649673
74	4390.974275
75	4381.799142
76	4373.704961
77	4370.320708
78	4366.452517
79	4364.07076
80	4356.653359
81	4353.66387
82	4349.488434
83	4345.952622
84	4341.021413
85	4337.298032
86	4334.098598
87	4328.458661
88	4324.109601
89	4320.598745
90	4315.93366
91	4311.906513
92	4310.243801
93	4308.261172
94	4303.249609
95	4296.440416
96	4295.101721
97	4291.087965
98	4284.867116
99	4281.181015
100	4274.079119
101	4271.935479
102	4268.634402
103	4263.409006
104	4258.633816
105	4257.348161
106	4255.052503
107	4253.554031
108	4244.940724
109	4241.282634
110	4240.414482
111	4232.29168
112	4228.89441
113	4226.835397
114	4224.856032
115	4222.5954
116	4219.03288
117	4215.919203
118	4214.013469
119	4211.292721
120	4210.373014
121	4208.265801
122	4205.386557
123	4201.842039
124	4200.393327
125	4198.133217
126	4197.021659
127	4192.792457
128	4190.6832
129	4186.611229
130	4183.854097
131	4180.386936
132	4178.193194
133	4176.2138
134	4171.840396
135	4168.513231
136	4167.856261
137	4166.582123
138	4163.183547
139	4161.075677
140	4159.036743
141	4157.370427
142	4151.832463
143	4149.982629
144	4148.630873
145	4146.354795
146	4145.412962
147	4143.732153
148	4138.59919
149	4136.008311
150	4134.279307
151	4131.016607
152	4129.783926
153	4127.346665
154	4126.690235
155	4125.355961
156	4123.859328
157	4123.081408
158	4121.727118
159	4119.655308
160	4116.575807
161	4115.854215
162	4113.859372
163	4110.789929
164	4109.441552
165	4108.038606
166	4105.092883
167	4103.33556
168	4097.920146
169	4096.199025
170	4094.244142
171	4092.493553
172	4091.303529
173	4088.584209
174	4086.597745
175	4084.090008
176	4082.991261
177	4079.724396
178	4078.159016
179	4075.397941
180	4073.817302
181	4069.914578
182	4067.971816
183	4066.044313
184	4063.533542
185	4061.996792
186	4061.103581
187	4059.182529
188	4057.811167
189	4056.16242
190	4054.353341
191	4050.664594
192	4049.524452
193	4045.158873
194	4044.553137
195	4043.429092
196	4041.533479
197	4040.473092
198	4038.028839
199	4036.467098
200	4035.31232
201	4034.233261
202	4033.585362
203	4030.760851
204	4028.448148
205	4024.821877
206	4022.54374
207	4021.021301
208	4020.441706
209	4019.659806
210	4016.950463
211	4014.032802
212	4012.719295
213	4010.386751
214	4009.638323
215	4007.142052
216	4005.131341
217	4004.299341
218	4002.697419
219	4001.955827
220	3998.981807
221	3997.444915
222	3996.929741
223	3994.704971
224	3992.414188
225	3991.219952
226	3988.538683
227	3987.678641
228	3985.039378
229	3984.197555
230	3983.471849
231	3982.9859
232	3980.602584
233	3978.426443
234	3977.51317
235	3975.635135
236	3973.882718
237	3972.641003
238	3971.399726
239	3968.581221
240	3963.052269
241	3961.855617
242	3961.107731
243	3959.770297
244	3957.707602
245	3956.755587
246	3955.362877
247	3954.566918
248	3950.45107
249	3948.92932
250	3947.82162
251	3946.305443
252	3945.220737
253	3944.243075
254	3942.026269
255	3940.553972
256	3939.833805
257	3937.87638
258	3936.172695
259	3935.234018
260	3934.031786
261	3933.276468
262	3931.794395
263	3930.048551
264	3928.566959
265	3926.737606
266	3925.058021
267	3924.073789
268	3921.930807
269	3920.869918
270	3919.480577
271	3918.761134
272	3918.038764
273	3916.534643
274	3914.616718
275	3914.153202
276	3913.069418
277	3911.049606
278	3910.531395
279	3909.342087
280	3908.450863
281	3907.189033
282	3905.667849
283	3901.940927
284	3900.609462
285	3899.394511
286	3898.227878
287	3897.270814
288	3895.233877
289	3892.864423
290	3891.795961
291	3891.044659
292	3890.585525
293	3888.023636
294	3886.6117
295	3884.056137
296	3882.710472
297	3880.306445
298	3879.432677
299	3878.213752
300	3877.042315
301	3875.469736
302	3874.868482
303	3874.397364
304	3871.269994
305	3868.966114
306	3867.901378
307	3866.334648
308	3864.597883
309	3862.256112
310	3860.021655
311	3859.110053
312	3857.517848
313	3855.685146
314	3853.86243
315	3851.568158
316	3850.91966
317	3848.733236
318	3847.007823
319	3845.659007
320	3845.077402
321	3844.305318
322	3844.046214
323	3842.08107
324	3839.332283
325	3837.923574
326	3836.087715
327	3832.666552
328	3831.769132
329	3830.53126
330	3827.536887
331	3826.993492
332	3823.844337
333	3822.861184
334	3821.937837
335	3820.696667
336	3819.675375
337	3819.146236
338	3816.826258
339	3816.296181
340	3815.380312
341	3813.400739
342	3811.903319
343	3810.902536
344	3809.601481
345	3807.562069
346	3805.443834
347	3804.262639
348	3803.518017
349	3802.184911
350	3800.8789
351	3800.249635
352	3799.535102
353	3798.192175
354	3797.048297
355	3794.96583
356	3794.590901
357	3794.010838
358	3792.98349
359	3791.768566
360	3790.868984
361	3789.445639
362	3788.896266
363	3788.117987
364	3787.562998
365	3785.871235
366	3784.671664
367	3780.237494
368	3778.857241
369	3776.855211
370	3775.947615
371	3774.925919
372	3774.388856
373	3773.676347
374	3772.677862
375	3771.963401
376	3771.187304
377	3770.601802
378	3770.025599
379	3768.40194
380	3767.05043
381	3766.516115
382	3764.922755
383	3764.376651
384	3763.422908
385	3762.590048
386	3760.918815
387	3760.469386
388	3758.909554
389	3758.289443
390	3756.035861
391	3755.379673
392	3753.888513
393	3751.975321
394	3751.277229
395	3750.493974
396	3749.24731
397	3748.758562
398	3748.036846
399	3746.707675
400	3746.0098
401	3744.910148
402	3743.822156
403	3743.045601
404	3741.905189
405	3740.926148
406	3740.457563
407	3739.104522
408	3737.498617
409	3736.536654
410	3734.361043
411	3732.215607
412	3731.969216
413	3730.483721
414	3728.521701
415	3727.80883
416	3726.703802
417	3724.837995
418	3724.556651
419	3723.434219
420	3721.758791
421	3721.121112
422	3719.375903
423	3717.47325
424	3715.726665
425	3714.848644
426	3713.357042
427	3710.022417
428	3709.000271
429	3707.856973
430	3707.347682
431	3706.095836
432	3705.662938
433	3705.225801
434	3703.561365
435	3702.880278
436	3701.493528
437	3700.619192
438	3698.818747
439	3697.761595
440	3696.621992
441	3695.770824
442	3694.435856
443	3693.365134
444	3693.058207
445	3691.679559
446	3690.499288
447	3689.465223
448	3689.117886
449	3687.720394
450	3686.474197
451	3685.370607
452	3684.958283
453	3684.43495
454	3683.909368
455	3680.008187
456	3677.960194
457	3676.527901
458	3675.751433
459	3672.471118
460	3670.703731
461	3669.711542
462	3668.826204
463	3668.290586
464	3667.829801
465	3666.242988
466	3665.41804
467	3663.14663
468	3661.784154
469	3659.700446
470	3658.638265
471	3657.716244
472	3657.073656
473	3655.877656
474	3654.591097
475	3653.816327
476	3653.410602
477	3652.879433
478	3651.126156
479	3650.352845
480	3649.712881
481	3648.555839
482	3647.874095
483	3646.791424
484	3645.962984
485	3644.624019
486	3644.336593
487	3643.187837
488	3641.792921
489	3641.372285
490	3639.069284
491	3638.637879
492	3637.479981
493	3636.233253
494	3635.49045
495	3635.017144
496	3633.871004
497	3632.409708
498	3631.245249
499	3630.231326
