iter	Passed	Remaining
0	12	6279
1	25	6232
2	35	5934
3	48	6048
4	60	5944
5	72	5937
6	82	5841
7	95	5843
8	107	5852
9	118	5815
10	131	5843
11	143	5840
12	157	5885
13	168	5860
14	180	5823
15	193	5862
16	206	5856
17	218	5846
18	230	5845
19	242	5813
20	253	5780
21	264	5750
22	278	5782
23	290	5770
24	305	5802
25	316	5767
26	327	5733
27	339	5724
28	351	5708
29	363	5695
30	377	5704
31	390	5713
32	403	5714
33	415	5694
34	426	5665
35	439	5660
36	449	5620
37	462	5628
38	472	5590
39	484	5574
40	496	5553
41	508	5547
42	522	5551
43	536	5556
44	547	5537
45	560	5534
46	572	5513
47	583	5496
48	594	5474
49	606	5461
50	621	5468
51	634	5465
52	647	5457
53	660	5454
54	675	5461
55	688	5459
56	702	5461
57	717	5467
58	731	5467
59	742	5448
60	754	5427
61	769	5436
62	782	5427
63	792	5399
64	807	5404
65	822	5410
66	835	5399
67	849	5397
68	860	5377
69	876	5387
70	888	5370
71	899	5348
72	915	5356
73	929	5353
74	942	5339
75	955	5330
76	969	5327
77	983	5320
78	1000	5330
79	1014	5323
80	1029	5325
81	1040	5306
82	1052	5287
83	1066	5279
84	1082	5282
85	1096	5280
86	1108	5263
87	1123	5261
88	1143	5279
89	1157	5271
90	1171	5266
91	1185	5259
92	1199	5248
93	1213	5239
94	1227	5235
95	1241	5222
96	1255	5216
97	1269	5208
98	1282	5192
99	1296	5185
100	1307	5164
101	1319	5148
102	1331	5131
103	1343	5116
104	1358	5111
105	1374	5107
106	1385	5087
107	1396	5069
108	1406	5043
109	1419	5031
110	1432	5018
111	1442	4997
112	1453	4979
113	1468	4971
114	1481	4959
115	1494	4946
116	1506	4931
117	1520	4922
118	1532	4905
119	1543	4888
120	1559	4883
121	1573	4874
122	1587	4866
123	1600	4851
124	1612	4838
125	1627	4830
126	1640	4818
127	1654	4808
128	1667	4796
129	1678	4775
130	1690	4762
131	1702	4747
132	1715	4733
133	1729	4722
134	1742	4710
135	1757	4703
136	1771	4693
137	1783	4679
138	1793	4658
139	1804	4640
140	1817	4627
141	1830	4615
142	1841	4597
143	1854	4585
144	1867	4571
145	1881	4561
146	1894	4548
147	1907	4537
148	1917	4516
149	1928	4500
150	1940	4484
151	1951	4468
152	1967	4462
153	1980	4449
154	1993	4438
155	2006	4424
156	2020	4414
157	2034	4403
158	2047	4391
159	2061	4380
160	2073	4366
161	2087	4355
162	2103	4348
163	2118	4339
164	2132	4328
165	2147	4320
166	2161	4310
167	2176	4300
168	2191	4292
169	2203	4276
170	2216	4265
171	2228	4249
172	2241	4237
173	2253	4222
174	2267	4211
175	2282	4201
176	2295	4188
177	2310	4180
178	2323	4167
179	2337	4156
180	2351	4144
181	2366	4135
182	2377	4119
183	2391	4107
184	2405	4096
185	2416	4079
186	2432	4071
187	2445	4058
188	2458	4045
189	2471	4031
190	2484	4020
191	2501	4012
192	2514	3999
193	2530	3991
194	2544	3979
195	2555	3963
196	2570	3954
197	2583	3941
198	2595	3925
199	2609	3914
200	2620	3898
201	2634	3886
202	2648	3874
203	2663	3865
204	2676	3851
205	2691	3841
206	2701	3824
207	2717	3814
208	2729	3799
209	2741	3785
210	2755	3774
211	2770	3764
212	2783	3750
213	2798	3739
214	2812	3727
215	2826	3716
216	2839	3702
217	2852	3690
218	2864	3675
219	2878	3663
220	2887	3645
221	2901	3633
222	2915	3621
223	2927	3606
224	2938	3592
225	2951	3578
226	2966	3567
227	2980	3555
228	2990	3538
229	3003	3525
230	3019	3515
231	3032	3503
232	3044	3489
233	3060	3478
234	3074	3467
235	3086	3453
236	3099	3439
237	3114	3428
238	3128	3416
239	3144	3406
240	3156	3392
241	3168	3378
242	3184	3368
243	3199	3356
244	3211	3342
245	3226	3331
246	3238	3316
247	3250	3303
248	3266	3292
249	3280	3280
250	3290	3264
251	3306	3253
252	3318	3239
253	3330	3226
254	3341	3210
255	3357	3199
256	3369	3186
257	3384	3174
258	3395	3159
259	3409	3147
260	3423	3134
261	3435	3120
262	3447	3106
263	3459	3092
264	3471	3078
265	3483	3064
266	3504	3058
267	3517	3045
268	3533	3034
269	3545	3020
270	3558	3007
271	3571	2994
272	3586	2982
273	3599	2969
274	3614	2957
275	3628	2944
276	3643	2932
277	3658	2921
278	3671	2908
279	3686	2896
280	3700	2883
281	3714	2871
282	3728	2859
283	3740	2845
284	3754	2832
285	3768	2819
286	3779	2804
287	3792	2791
288	3807	2780
289	3821	2767
290	3836	2755
291	3850	2742
292	3864	2730
293	3877	2716
294	3889	2702
295	3905	2691
296	3918	2678
297	3934	2666
298	3946	2653
299	3961	2640
300	3973	2627
301	3987	2614
302	3999	2600
303	4011	2586
304	4025	2573
305	4041	2561
306	4053	2548
307	4067	2535
308	4082	2523
309	4094	2509
310	4107	2496
311	4120	2483
312	4134	2469
313	4149	2457
314	4164	2445
315	4177	2432
316	4190	2418
317	4203	2405
318	4218	2393
319	4232	2380
320	4246	2367
321	4260	2355
